order_id,order_date,country_id,category_id,amount
1,2019-01-01,6,4,5190.00
2,2019-01-01,25,2,1205.00
3,2019-01-01,22,5,3155.00
4,2019-01-01,40,2,268.00
5,2019-01-01,28,3,3199.00
6,2019-01-01,30,4,6643.00
7,2019-01-01,11,2,3995.00
8,2019-01-01,14,4,2318.00
9,2019-01-01,18,2,3956.00
10,2019-01-01,37,1,3681.00
11,2019-01-01,10,3,1309.00
12,2019-01-01,1,1,5937.00
13,2019-01-01,9,2,6487.00
14,2019-01-01,42,1,7745.00
15,2019-01-01,6,1,3597.00
16,2019-01-01,11,5,399.00
17,2019-01-01,31,2,3199.00
18,2019-01-01,28,2,2868.00
19,2019-01-01,36,2,2004.00
20,2019-01-01,22,4,5061.00
21,2019-01-01,25,5,2124.00
22,2019-01-01,50,3,2128.00
23,2019-01-01,18,3,912.00
24,2019-01-01,15,3,2295.00
25,2019-01-01,36,4,410.00
26,2019-01-01,11,3,2650.00
27,2019-01-01,30,3,1371.00
28,2019-01-01,28,4,1992.00
29,2019-01-01,1,5,5199.00
30,2019-01-01,33,4,3648.00
31,2019-01-01,19,2,3433.00
32,2019-01-01,9,4,4016.00
33,2019-01-01,34,2,2538.00
34,2019-01-01,36,3,1450.00
35,2019-01-01,47,2,2815.00
36,2019-01-01,35,5,2332.00
37,2019-01-01,32,2,3818.00
38,2019-01-01,20,3,5794.00
39,2019-01-01,38,5,5287.00
40,2019-01-01,24,4,3594.00
41,2019-01-01,23,3,5180.00
42,2019-01-01,25,4,3002.00
43,2019-01-01,48,4,4500.00
44,2019-01-01,37,3,6959.00
45,2019-01-01,48,5,4012.00
46,2019-01-01,53,4,1894.00
47,2019-01-01,36,1,4076.00
48,2019-01-01,35,1,7131.00
49,2019-01-01,51,1,6211.00
50,2019-01-01,24,2,5604.00
51,2019-01-01,17,4,311.00
52,2019-01-01,42,2,59.00
53,2019-01-01,19,1,5905.00
54,2019-01-01,15,5,2652.00
55,2019-01-01,29,4,4757.00
56,2019-01-01,49,1,3264.00
57,2019-01-01,18,1,2546.00
58,2019-01-01,20,5,7817.00
59,2019-01-01,27,5,6918.00
60,2019-01-01,4,2,7813.00
61,2019-01-01,40,3,7908.00
62,2019-01-01,50,1,5203.00
63,2019-01-01,13,1,5742.00
64,2019-01-01,12,5,3413.00
65,2019-01-01,31,3,7967.00
66,2019-01-01,55,1,2859.00
67,2019-01-01,11,1,1535.00
68,2019-01-01,33,3,2160.00
69,2019-01-01,44,2,4116.00
70,2019-01-01,32,4,5067.00
